,f,i,cats,mr,c,smp,srd,best
206,Ackley,200,50,0.6,1.5,40,0.5,0.14363424287378423
207,Ackley,200,50,0.6,1.5,40,0.8,2.488027778513313e-05
208,Ackley,200,50,0.6,2.0,5,0.1,2.1062583737475653
209,Ackley,200,50,0.6,2.0,5,0.3,0.07028148901175202
210,Ackley,200,50,0.6,2.0,5,0.5,0.1101867875400413
211,Ackley,200,50,0.6,2.0,5,0.8,0.00018618090911148855
212,Ackley,200,50,0.6,2.0,10,0.1,1.4267475009593977
213,Ackley,200,50,0.6,2.0,10,0.3,1.3486921018830178
214,Ackley,200,50,0.6,2.0,10,0.5,0.09714305756038444
215,Ackley,200,50,0.6,2.0,10,0.8,0.0005069825065473488
216,Ackley,200,50,0.6,2.0,20,0.1,2.8678996116243245
217,Ackley,200,50,0.6,2.0,20,0.3,1.3431691547380251
218,Ackley,200,50,0.6,2.0,20,0.5,0.032300256749739464
219,Ackley,200,50,0.6,2.0,20,0.8,0.0005665761775515143
220,Ackley,200,50,0.6,2.0,40,0.1,1.81740957583034
221,Ackley,200,50,0.6,2.0,40,0.3,0.5475117416149868
222,Ackley,200,50,0.6,2.0,40,0.5,0.014745965524174398
223,Ackley,200,50,0.6,2.0,40,0.8,0.0008808926566676867
224,Ackley,200,50,0.6,3.0,5,0.1,0.7530803505897059
225,Ackley,200,50,0.6,3.0,5,0.3,1.0014073666251986
226,Ackley,200,50,0.6,3.0,5,0.5,0.1638942691530123
227,Ackley,200,50,0.6,3.0,5,0.8,0.005862058514218393
228,Ackley,200,50,0.6,3.0,10,0.1,3.7444985626844915
229,Ackley,200,50,0.6,3.0,10,0.3,2.1128820970791513
230,Ackley,200,50,0.6,3.0,10,0.5,0.5136536052023257
231,Ackley,200,50,0.6,3.0,10,0.8,0.0020181293403358502
232,Ackley,200,50,0.6,3.0,20,0.1,3.2017977289505173
233,Ackley,200,50,0.6,3.0,20,0.3,1.6302195167020526
234,Ackley,200,50,0.6,3.0,20,0.5,0.163751807336443
235,Ackley,200,50,0.6,3.0,20,0.8,0.0014549124516034517
236,Ackley,200,50,0.6,3.0,40,0.1,1.8778549662449149
237,Ackley,200,50,0.6,3.0,40,0.3,0.5621260059661108
238,Ackley,200,50,0.6,3.0,40,0.5,0.16067673907955582
239,Ackley,200,50,0.6,3.0,40,0.8,0.006713119938439593
240,Ackley,200,50,0.9,0.5,5,0.1,0.136197074116716
241,Ackley,200,50,0.9,0.5,5,0.3,0.4532847392130326
242,Ackley,200,50,0.9,0.5,5,0.5,0.008722634904902993
243,Ackley,200,50,0.9,0.5,5,0.8,0.00015228107613340924
244,Ackley,200,50,0.9,0.5,10,0.1,2.433051529143605
245,Ackley,200,50,0.9,0.5,10,0.3,0.359309266344749
246,Ackley,200,50,0.9,0.5,10,0.5,0.0037749998296559006
247,Ackley,200,50,0.9,0.5,10,0.8,9.172461008377653e-05
248,Ackley,200,50,0.9,0.5,20,0.1,2.6546294007540365
249,Ackley,200,50,0.9,0.5,20,0.3,0.36577534081648055
250,Ackley,200,50,0.9,0.5,20,0.5,0.02514255619562933
251,Ackley,200,50,0.9,0.5,20,0.8,0.0004055814049661599
252,Ackley,200,50,0.9,0.5,40,0.1,1.396229602844635
253,Ackley,200,50,0.9,0.5,40,0.3,0.19792008937653494
254,Ackley,200,50,0.9,0.5,40,0.5,0.00851936424006583
255,Ackley,200,50,0.9,0.5,40,0.8,0.0009201045277120734
256,Ackley,200,50,0.9,1.0,5,0.1,2.597552771901729
257,Ackley,200,50,0.9,1.0,5,0.3,1.5002876419595954
258,Ackley,200,50,0.9,1.0,5,0.5,0.10424236254804642
259,Ackley,200,50,0.9,1.0,5,0.8,0.00022466888380678895
260,Ackley,200,50,0.9,1.0,10,0.1,1.614954873385607
261,Ackley,200,50,0.9,1.0,10,0.3,1.124073389409045
262,Ackley,200,50,0.9,1.0,10,0.5,0.08144281741915949
263,Ackley,200,50,0.9,1.0,10,0.8,0.0005179695950876528
264,Ackley,200,50,0.9,1.0,20,0.1,3.0177563129493845
265,Ackley,200,50,0.9,1.0,20,0.3,0.5766315352315385
266,Ackley,200,50,0.9,1.0,20,0.5,0.02884990886163452
267,Ackley,200,50,0.9,1.0,20,0.8,0.0006801930750381935
268,Ackley,200,50,0.9,1.0,40,0.1,1.4237893726856368
269,Ackley,200,50,0.9,1.0,40,0.3,0.5917435996206959
